HRR ID,HRR Name,State,Number of deaths among cancer patients (2012),Percent of cancer patients dying in hospital (2012),,,Percent of cancer patients admitted to hospital during the last month of life (2012 deaths),,,Hospital days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients admitted to intensive care during the last month of life (2012 deaths),,,ICU days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients receiving life-sustaining treatment during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last month of life (2012 deaths),,,Hospice days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last three days of life (2012 deaths),,,Percent of cancer patients seeing ten or more physicians during the last six months of life (2012 deaths),,
,,,,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
105,Grand Junction,CO,149,15.2 ,10.1 ,22.9 ,46.6 ,37.0 ,58.7 ,3.0 ,2.1 ,3.9 ,17.3 ,11.8 ,25.5 ,0.7 ,0.2 ,1.3 ,,,,75.7 ,63.0 ,91.0 ,13.7 ,11.9 ,15.4 ,9.0 ,5.3 ,15.2 ,31.6 ,23.4 ,42.5 
106,Greeley,CO,222,18.3 ,13.4 ,24.8 ,61.0 ,51.6 ,72.1 ,3.8 ,3.0 ,4.5 ,27.0 ,21.0 ,34.8 ,1.2 ,0.7 ,1.6 ,8.4 ,5.3 ,13.3 ,65.0 ,55.2 ,76.5 ,10.0 ,8.5 ,11.4 ,14.1 ,10.0 ,19.9 ,51.1 ,42.5 ,61.4 
107,Pueblo,CO,136,17.2 ,11.5 ,26.0 ,55.1 ,44.0 ,69.2 ,4.1 ,3.2 ,5.1 ,18.7 ,12.6 ,27.6 ,0.6 ,,1.2 ,,,,69.3 ,56.7 ,84.8 ,10.6 ,8.7 ,12.4 ,14.6 ,9.4 ,22.6 ,49.8 ,39.1 ,63.4 
109,Bridgeport,CT,506,29.4 ,24.9 ,34.6 ,62.1 ,55.6 ,69.5 ,5.5 ,5.0 ,6.0 ,32.2 ,27.5 ,37.6 ,1.5 ,1.2 ,1.8 ,12.0 ,9.2 ,15.6 ,59.8 ,53.4 ,66.9 ,7.9 ,6.9 ,8.9 ,11.4 ,8.8 ,14.8 ,77.2 ,69.8 ,85.4 
110,Hartford,CT,"1,308",26.5 ,23.8 ,29.5 ,62.6 ,58.5 ,67.1 ,5.2 ,4.9 ,5.5 ,32.5 ,29.5 ,35.8 ,1.5 ,1.3 ,1.7 ,9.8 ,8.2 ,11.8 ,57.7 ,53.7 ,61.9 ,7.6 ,7.0 ,8.2 ,13.4 ,11.5 ,15.5 ,74.2 ,69.5 ,79.1 
111,New Haven,CT,"1,339",27.5 ,24.8 ,30.6 ,62.4 ,58.3 ,66.9 ,5.1 ,4.8 ,5.4 ,24.0 ,21.5 ,26.8 ,1.0 ,0.8 ,1.2 ,9.6 ,8.0 ,11.5 ,59.4 ,55.5 ,63.7 ,8.1 ,7.5 ,8.7 ,12.0 ,10.3 ,14.1 ,77.2 ,72.5 ,82.1 
112,Wilmington,DE,714,19.0 ,16.0 ,22.4 ,60.3 ,54.9 ,66.3 ,4.7 ,4.3 ,5.1 ,27.1 ,23.6 ,31.2 ,1.2 ,1.0 ,1.5 ,9.7 ,7.7 ,12.3 ,76.0 ,69.8 ,82.7 ,11.2 ,10.3 ,12.0 ,14.5 ,11.9 ,17.6 ,69.4 ,63.5 ,75.9 
113,Washington,DC,"1,952",25.8 ,23.7 ,28.2 ,61.2 ,57.8 ,64.8 ,5.3 ,5.0 ,5.5 ,26.2 ,24.0 ,28.6 ,1.3 ,1.1 ,1.4 ,11.5 ,10.2 ,13.1 ,58.8 ,55.5 ,62.4 ,9.1 ,8.7 ,9.6 ,9.0 ,7.7 ,10.5 ,70.0 ,66.3 ,73.9 
115,Bradenton,FL,338,13.3 ,9.8 ,17.9 ,61.1 ,53.2 ,70.1 ,4.7 ,4.1 ,5.3 ,37.1 ,31.1 ,44.3 ,1.9 ,1.6 ,2.3 ,11.1 ,8.0 ,15.5 ,74.9 ,66.2 ,84.7 ,10.4 ,9.3 ,11.6 ,14.8 ,11.2 ,19.5 ,66.2 ,58.0 ,75.6 
116,Clearwater,FL,448,20.8 ,16.9 ,25.6 ,55.8 ,49.2 ,63.3 ,4.1 ,3.5 ,4.6 ,35.0 ,29.9 ,41.1 ,1.7 ,1.4 ,2.1 ,10.8 ,8.1 ,14.6 ,69.1 ,61.9 ,77.3 ,11.5 ,10.4 ,12.5 ,11.7 ,8.9 ,15.3 ,72.2 ,64.7 ,80.5 
